import time: self [us] | cumulative | imported package
import time:       357 |       4588 |               pydantic.errors
import time:       322 |      23930 |             pydantic
import time:       138 |        138 |                 pydantic._internal._internal_dataclass
import time:       556 |        694 |               pydantic.aliases
import time:       534 |        534 |               pydantic.config
import time:       284 |       1511 |             pydantic._internal._config
import time:       253 |        253 |               pydantic._internal._core_utils
import time:       180 |        180 |                 pydantic._internal._import_utils
import time:       504 |        684 |               pydantic._internal._utils
import time:      2617 |       3553 |             pydantic._internal._decorators
import time:       293 |        293 |                 pydantic._internal._forward_ref
import time:       367 |        660 |               pydantic._internal._generics
import time:       182 |        182 |               pydantic._internal._docs_extraction
import time:       499 |       1340 |             pydantic._internal._fields
import time:       429 |        429 |                 pydantic.plugin
import time:       270 |        699 |               pydantic.plugin._schema_validator
import time:       265 |        963 |             pydantic._internal._mock_val_ser
import time:       591 |        591 |                 fractions
import time:       850 |        850 |                   _uuid
import time:       355 |       1205 |                 uuid
import time:       327 |        327 |                     sysconfig
import time:       435 |        435 |                     _sysconfigdata__darwin_darwin
import time:       228 |        228 |                     _osx_support
import time:       778 |       1766 |                   zoneinfo._tzpath
import time:       168 |        168 |                   zoneinfo._common
import time:      1549 |       1549 |                   _zoneinfo
import time:       339 |       3820 |                 zoneinfo
import time:       178 |        178 |                 pydantic.annotated_handlers
import time:      1558 |       1558 |                 pydantic.functional_validators
import time:       217 |        217 |                   pydantic._internal._core_metadata
import time:       190 |        190 |                   pydantic._internal._schema_generation_shared
import time:      2084 |       2490 |                 pydantic.json_schema
import time:       247 |        247 |                 pydantic._internal._discriminated_union
import time:       256 |        256 |                 pydantic._internal._known_annotated_metadata
import time:       350 |        350 |                 pydantic._internal._schema_gather
import time:      1081 |      11773 |               pydantic._internal._generate_schema
import time:       189 |        189 |               pydantic._internal._signature
import time:       313 |      12274 |             pydantic._internal._model_construction
import time:      3152 |       3152 |               annotated_types
import time:       456 |        456 |               pydantic._internal._validators
import time:      6878 |       6878 |               pydantic.types
import time:      1039 |      11524 |             pydantic.fields
import time:      1641 |       1641 |                   _csv
import time:       293 |       1933 |                 csv
import time:       171 |        171 |                     importlib._abc
import time:       300 |        471 |                   importlib.util
import time:       529 |        999 |                 zipfile
import time:        99 |         99 |                     importlib.metadata._functools
import time:       461 |        560 |                   importlib.metadata._text
import time:       308 |        868 |                 importlib.metadata._adapters
import time:       191 |        191 |                 importlib.metadata._meta
import time:       199 |        199 |                 importlib.metadata._collections
import time:        84 |         84 |                 importlib.metadata._itertools
import time:       368 |        368 |                 importlib.abc
import time:       826 |       5466 |               importlib.metadata
import time:       236 |       5701 |             pydantic.plugin._loader
import time:      9545 |      70338 |           fastapi.exceptions
import time:       147 |        147 |             fastapi.openapi
import time:       148 |        148 |                 fastapi.types
import time:       230 |        230 |                   shlex
import time:       182 |        182 |                   starlette.concurrency
import time:       220 |        220 |                   starlette.types
import time:       688 |       1319 |                 starlette.datastructures
import time:       218 |       1684 |               fastapi._compat.shared
import time:       138 |        138 |                 fastapi.openapi.constants
import time:      1282 |       1419 |               fastapi._compat.v2
import time:       176 |       3278 |             fastapi._compat
import time:       157 |        157 |             fastapi.logger
import time:        46 |         46 |             email_validator
import time:     54907 |      58534 |           fastapi.openapi.models
import time:       773 |        773 |           fastapi.datastructures
import time:      3065 |     132709 |         fastapi.params
import time:       225 |        225 |           fastapi.dependencies
import time:      1328 |       1328 |                 fastapi.security.base
import time:       860 |        860 |                   http.cookies
import time:       423 |        423 |                   starlette._utils
import time:       222 |        222 |                           python_multipart.exceptions
