import time: self [us] | cumulative | imported package
import time:       109 |        233 |             authlib.oidc.core.grants.hybrid
import time:        94 |       1030 |           authlib.oidc.core.grants
import time:       100 |        100 |           authlib.oidc.core.userinfo
import time:       144 |       6692 |         authlib.oidc.core
import time:       138 |      57460 |       authlib.integrations.base_client.sync_openid
import time:       166 |      76063 |     authlib.integrations.base_client
import time:       208 |        208 |         starlette
import time:       242 |        242 |         shlex
import time:       210 |        210 |                 anyio._core
import time:       305 |        515 |               anyio._core._contextmanagers
import time:       614 |        614 |                   _contextvars
import time:       747 |       1361 |                 contextvars
import time:       658 |        658 |                   textwrap
import time:      1289 |       1289 |                         typing_extensions
import time:       687 |       1976 |                       exceptiongroup._exceptions
import time:       246 |       2221 |                     exceptiongroup._catch
import time:       112 |        112 |                     exceptiongroup._version
import time:       427 |        427 |                     exceptiongroup._formatting
import time:       120 |        120 |                     exceptiongroup._suppress
import time:       272 |       3150 |                   exceptiongroup
import time:       208 |       4015 |                 anyio._core._exceptions
import time:       119 |        119 |                   sniffio._version
import time:       101 |        101 |                   sniffio._impl
import time:       134 |        352 |                 sniffio
import time:       195 |       5921 |               anyio._core._eventloop
import time:       255 |        255 |                   fnmatch
import time:        41 |         41 |                     _winapi
import time:        35 |         35 |                     nt
import time:        33 |         33 |                     nt
import time:        33 |         33 |                     nt
import time:        32 |         32 |                     nt
import time:       248 |        420 |                   ntpath
import time:      1010 |       1684 |                 pathlib
import time:       446 |        446 |                       signal
import time:       354 |        800 |                     anyio.abc._eventloop
import time:       119 |        119 |                     anyio.abc._resources
import time:       135 |        135 |                       anyio._core._typedattr
import time:       173 |        173 |                         anyio.abc._tasks
import time:       518 |        690 |                       anyio.abc._streams
import time:       416 |       1240 |                     anyio.abc._sockets
import time:       132 |        132 |                     anyio.abc._subprocesses
import time:       116 |        116 |                     anyio.abc._testing
import time:       438 |        438 |                       anyio.lowlevel
import time:       418 |        418 |                       anyio._core._tasks
import time:       116 |        116 |                       anyio._core._testing
import time:      1464 |       2436 |                     anyio._core._synchronization
import time:       238 |        238 |                         concurrent
import time:       722 |        722 |                         concurrent.futures._base
import time:       201 |       1160 |                       concurrent.futures
import time:      1314 |       2474 |                     anyio.from_thread
import time:       182 |       7494 |                   anyio.abc
import time:       131 |       7624 |                 anyio.to_thread
import time:       534 |       9842 |               anyio._core._fileio
import time:       115 |        115 |               anyio._core._resources
import time:       167 |        167 |               anyio._core._signals
import time:       883 |        883 |                   _ssl
import time:      1439 |       2322 |                 ssl
import time:       885 |        885 |                   anyio.streams
import time:       641 |       1526 |                 anyio.streams.stapled
